Time,Transfer (GBytes)
00:00:00,1.07
00:00:01,1.2
00:00:02,1.14
00:00:03,1.03
00:00:04,1.19
00:00:05,1.18
00:00:06,1.19
00:00:07,1.18
00:00:08,1.23
00:00:09,1.14
00:00:10,1.16
00:00:11,1.16
00:00:12,1.2
00:00:13,1.21
00:00:14,1.2
00:00:15,1.17
00:00:16,1.14
00:00:17,1.15
00:00:18,1.17
00:00:19,1.16
00:00:20,1.14
00:00:21,1.13
00:00:22,1.14
00:00:23,1.23
00:00:24,1.14
00:00:25,1.16
00:00:26,1.11
00:00:27,1.12
00:00:28,1.15
00:00:29,1.14
00:00:30,1.11
00:00:31,1.2
00:00:32,1.16
00:00:33,1.2
00:00:34,1.12
00:00:35,1.22
00:00:36,1.18
00:00:37,1.17
00:00:38,1.07
00:00:39,1.14
00:00:40,1.0
00:00:41,1.11
00:00:42,1.13
00:00:43,1.11
00:00:44,1.13
00:00:45,1.08
00:00:46,1.14
00:00:47,1.11
00:00:48,1.13
00:00:49,1.13
00:00:50,1.1
00:00:51,1.16
00:00:52,1.13
00:00:53,1.15
00:00:54,1.07
00:00:55,1.15
00:00:56,1.11
00:00:57,1.11
00:00:58,1.13
00:00:59,1.13
00:01:00,1.13
00:01:01,1.16
00:01:02,1.13
00:01:03,1.1
00:01:04,1.12
00:01:05,1.13
00:01:06,1.16
00:01:07,1.15
00:01:08,1.18
00:01:09,1.11
00:01:10,1.18
00:01:11,1.18
00:01:12,1.18
00:01:13,1.2
00:01:14,1.19
00:01:15,1.2
00:01:16,1.17
00:01:17,1.11
00:01:18,1.09
00:01:19,1.12
00:01:20,1.13
00:01:21,1.11
00:01:22,1.16
00:01:23,1.14
00:01:24,1.14
00:01:25,1.14
00:01:26,1.16
00:01:27,1.14
00:01:28,1.16
00:01:29,1.2
00:01:30,1.13
00:01:31,1.06
00:01:32,1.06
00:01:33,1.05
00:01:34,1.12
00:01:35,1.12
00:01:36,1.14
00:01:37,1.13
00:01:38,1.16
00:01:39,1.08
00:01:40,1.08
00:01:41,1.03
00:01:42,1.11
00:01:43,1.13
00:01:44,1.12
00:01:45,1.13
00:01:46,1.07
00:01:47,1.09
00:01:48,1.06
00:01:49,1.09
00:01:50,1.08
00:01:51,1.12
00:01:52,1.15
00:01:53,1.1
00:01:54,1.09
00:01:55,1.07
00:01:56,1.05
00:01:57,1.17
00:01:58,1.12
00:01:59,1.15
00:02:00,1.08
00:02:01,1.03
00:02:02,1.03
00:02:03,1.02
00:02:04,1.1
00:02:05,1.07
00:02:06,1.08
00:02:07,1.06
00:02:08,1.11
00:02:09,1.08
00:02:10,1.12
00:02:11,1.14
00:02:12,1.1
00:02:13,1.05
00:02:14,1.11
00:02:15,1.04
00:02:16,1.03
00:02:17,1.03
00:02:18,1.0
00:02:19,1.02
00:02:20,1.08
00:02:21,1.01
00:02:22,1.03
00:02:23,1.03
00:02:24,1.06
00:02:25,1.09
00:02:26,1.05
00:02:27,1.06
00:02:28,1.06
00:02:29,1.06
00:02:30,1.01
00:02:31,1.02
00:02:32,1.05
00:02:33,1.1
00:02:34,1.04
00:02:35,1.07
00:02:36,1.06
00:02:37,1.04
00:02:38,1.0
00:02:39,1.05
00:02:40,1.02
00:02:41,1.07
00:02:42,1.03
00:02:43,1.05
00:02:44,1.05
00:02:45,1.06
00:02:46,1.06
00:02:47,1.0
00:02:48,1.04
00:02:49,1.02
00:02:50,1.05
00:02:51,1.03
00:02:52,1.04
00:02:53,1.01
00:02:54,1.03
00:02:55,1.03
00:02:56,1.06
00:02:57,1.0
00:02:58,1.04
00:02:59,1.05
00:03:00,1.02
00:03:01,1.03
00:03:02,1.01
00:03:03,1.0
00:03:04,1.05
00:03:05,1.03
00:03:06,1.06
00:03:07,1.03
00:03:08,1.02
00:03:09,1.01
00:03:10,1.05
00:03:11,1.04
00:03:12,1.01
00:03:13,1.02
00:03:14,1.03
00:03:15,1.02
00:03:16,1.03
00:03:17,1.03
00:03:18,1.06
00:03:19,1.04
00:03:20,1.04
00:03:21,1.01
00:03:22,1.02
00:03:23,1.01
00:03:24,1.03
00:03:25,1.07
00:03:26,1.08
00:03:27,1.06
00:03:28,1.02
00:03:29,1.04
00:03:30,1.06
00:03:31,1.01
00:03:32,1.0
00:03:33,1.0
00:03:34,1.03
00:03:35,1.01
00:03:36,1.04
00:03:37,1.01
00:03:38,1.03
00:03:39,1.03
00:03:40,1.04
00:03:41,1.02
00:03:42,1.01
00:03:43,1.03
00:03:44,1.03
00:03:45,1.03
00:03:46,1.01
00:03:47,1.01
00:03:48,1.03
00:03:49,1.0
00:03:50,1.04
00:03:51,1.03
00:03:52,1.05
00:03:53,1.06
00:03:54,1.01
00:03:55,1.01
00:03:56,1.02
00:03:57,1.0
00:03:58,1.04
00:03:59,1.02
00:04:00,1.01
00:04:01,1.06
00:04:02,1.06
00:04:03,1.04
00:04:04,1.06
00:04:05,1.03
00:04:06,1.05
00:04:07,1.02
00:04:08,1.04
00:04:09,1.05
00:04:10,1.04
00:04:11,1.04
00:04:12,1.03
00:04:13,1.04
00:04:14,1.04
00:04:15,1.04
00:04:16,1.03
00:04:17,1.03
00:04:18,1.04
00:04:19,1.05
00:04:20,1.05
00:04:21,1.06
00:04:22,1.05
00:04:23,1.06
00:04:24,1.07
00:04:25,1.1
00:04:26,1.1
00:04:27,1.11
00:04:28,1.08
00:04:29,1.1
00:04:30,1.11
00:04:31,1.1
00:04:32,1.09
00:04:33,1.12
00:04:34,1.1
00:04:35,1.11
00:04:36,1.13
00:04:37,1.06
00:04:38,1.07
00:04:39,1.09
00:04:40,1.08
00:04:41,1.08
00:04:42,1.07
00:04:43,1.11
00:04:44,1.09
00:04:45,1.1
00:04:46,1.08
00:04:47,1.05
00:04:48,1.07
00:04:49,1.09
00:04:50,1.08
00:04:51,1.1
00:04:52,1.1
00:04:53,1.01
00:04:54,1.06
00:04:55,1.09
00:04:56,1.09
00:04:57,1.07
00:04:58,1.09
00:04:59,1.12
00:05:00,1.13
00:05:01,1.14
00:05:02,1.11
00:05:03,1.13
00:05:04,1.1
00:05:05,1.08
00:05:06,1.09
00:05:07,1.09
00:05:08,1.1
00:05:09,1.17
00:05:10,1.07
00:05:11,1.07
00:05:12,1.1
00:05:13,1.07
00:05:14,1.07
00:05:15,1.13
00:05:16,1.07
00:05:17,1.04
00:05:18,1.06
00:05:19,1.07
00:05:20,1.04
00:05:21,1.03
00:05:22,1.03
00:05:23,1.08
00:05:24,1.0
00:05:25,1.04
00:05:26,1.08
00:05:27,1.07
00:05:28,1.03
00:05:29,1.03
00:05:30,1.05
00:05:31,1.13
00:05:32,1.01
00:05:33,1.09
00:05:34,1.02
00:05:35,1.11
00:05:36,1.07
00:05:37,1.06
00:05:38,1.05
00:05:39,1.08
00:05:40,0.17795823003123737
00:05:41,0.054047292456621536
00:05:42,0.04455332428435766
00:05:43,0.018554379319117097
00:05:44,0.003039481474422728
00:05:45,0.17196292360655524
00:05:46,0.12393456111931836
00:05:47,0.14525328872428048
00:05:48,0.05212006956448058
00:05:49,0.10848588074447044
00:05:50,0.011831724232381508
00:05:51,0.08984110524790524
00:05:52,0.18083660085272266
00:05:53,0.1621534703835693
00:05:54,0.06255940608981644
00:05:55,0.17789047859017723
00:05:56,0.04286480089717284
00:05:57,0.17562398214690106
00:05:58,0.17415487537070223
00:05:59,0.14785247866019247
00:06:00,0.11663286832035635
00:06:01,0.1617432738256152
00:06:02,0.05420875263394239
00:06:03,0.15705455773288987
00:06:04,0.1143071880047419
00:06:05,0.0024488186853964056
00:06:06,0.06423820081746062
00:06:07,0.02740605927541053
00:06:08,0.18163843711637684
00:06:09,0.08849850680239779
00:06:10,0.0920174026172526
00:06:11,0.11830241553376386
00:06:12,0.06818815213397925
00:06:13,0.025326550261835803
00:06:14,0.15209178064093543
00:06:15,0.035121863702010224
00:06:16,0.09459401177109436
00:06:17,0.041498650360326766
00:06:18,0.0181012296313963
00:06:19,0.1595054307230114
00:06:20,0.1799901054692791
00:06:21,0.17775441174165502
00:06:22,0.1677127673559181
00:06:23,0.14319875654924819
00:06:24,0.06163185312529876
00:06:25,0.015003757147779401
00:06:26,0.07533961671155436
00:06:27,0.04296331630162441
00:06:28,0.02451021243022685
00:06:29,0.009884028630562673
00:06:30,0.13423495737895708
00:06:31,0.0021140798456307404
00:06:32,0.1425574384730136
00:06:33,0.027185129399069384
00:06:34,0.014711585278549813
00:06:35,0.016576561334141995
00:06:36,0.12432884436047417
00:06:37,0.04539293382277628
00:06:38,0.07779980133581821
00:06:39,0.10311322639492462
00:06:40,0.15920196715832685
00:06:41,0.13450318860159574
00:06:42,0.050010662469162206
00:06:43,0.024324317868858608
00:06:44,0.010244249277921618
00:06:45,0.05579574737897436
00:06:46,0.04849185760934047
00:06:47,0.08438600485808874
00:06:48,0.1264070470763209
00:06:49,0.12869070744318858
00:06:50,0.052450986617700826
00:06:51,0.07028648684152229
00:06:52,0.03351292792132706
00:06:53,0.14588091977670595
00:06:54,0.010516894140149455
00:06:55,0.12894448971912265
00:06:56,0.1440586482491041
00:06:57,0.14382039894201934
00:06:58,0.047993174403890664
00:06:59,0.06915543051752386
00:07:00,0.10870593251133197
00:07:01,0.0504720519485264
00:07:02,0.0686077678553094
00:07:03,0.03645504183434333
00:07:04,0.08507333849486137
00:07:05,0.008253275732011105
00:07:06,0.14796223864556432
00:07:07,0.014236942692527055
00:07:08,0.09598450253383231
00:07:09,0.05675986841586128
00:07:10,0.10684544553380446
00:07:11,0.17749516805418364
00:07:12,0.11943049522436071
00:07:13,0.00654205061476582
00:07:14,0.07962445130899133
00:07:15,0.09435311767887629
00:07:16,0.09919283652013862
00:07:17,0.12605761446171002
00:07:18,0.05135527808037672
00:07:19,0.023839204611269236
00:07:20,0.07264500016121245
00:07:21,0.17693505871725054
00:07:22,0.03461921497390628
00:07:23,0.16723703166172385
00:07:24,0.10060410076430537
00:07:25,0.08452861300446668
00:07:26,0.16317766089252958
00:07:27,0.08484173292718838
00:07:28,0.1339710127731355
00:07:29,0.07381968451507387
00:07:30,0.16724821268667717
00:07:31,0.12765462873537706
00:07:32,0.1294300800363456
00:07:33,0.060628274288067
00:07:34,0.1400040489063245
00:07:35,0.11767129525772115
00:07:36,0.044403750575246266
00:07:37,0.029699682159772436
00:07:38,0.14733242278570638
00:07:39,0.17744582156151617
00:07:40,0.08475568304310793
00:07:41,0.1093320705848817
00:07:42,0.1586786891758076
00:07:43,0.08458633887046356
00:07:44,0.1760967782140562
00:07:45,0.1065139649783014
00:07:46,0.15184191732974325
00:07:47,0.1681360879063566
00:07:48,0.15087190647218524
00:07:49,0.029491675738056847
00:07:50,0.11634621122641457
00:07:51,0.07371033784464026
00:07:52,0.011601896124318955
00:07:53,0.07844596659962076
00:07:54,0.04785655237454042
00:07:55,0.1570720870592745
00:07:56,0.006161355911138796
00:07:57,0.17741180354474262
00:07:58,0.06574323696730698
00:07:59,0.06599077472447043
00:08:00,0.00302077299648596
00:08:01,0.03426798016869403
00:08:02,0.07423300764866761
00:08:03,0.17191891220100208
00:08:04,0.018428762090935195
00:08:05,0.17488078369362972
00:08:06,0.16085537815112697
00:08:07,0.08402004342789708
00:08:08,0.06043966312712811
00:08:09,0.043057663916625515
00:08:10,0.11367597069822176
00:08:11,0.00611879942296854
00:08:12,0.00288712192266322
00:08:13,0.07932720866217399
00:08:14,0.012593703685323239
00:08:15,0.046609082825527184
00:08:16,0.04091476933902551
00:08:17,0.04684037083872761
00:08:18,0.024245217774822685
00:08:19,0.0022267012360660397
00:08:20,0.021364594970668394
00:08:21,0.11441884800985835
00:08:22,0.1802373993713393
00:08:23,0.18321382528876537
00:08:24,0.0756750076440164
00:08:25,0.03014656881862199
00:08:26,0.11817092511280791
00:08:27,0.09070648911151637
00:08:28,0.18304080879761983
00:08:29,0.012081278323079337
00:08:30,0.14489837108805542
00:08:31,0.053353722006326376
00:08:32,0.04466244471416619
00:08:33,0.12256334573354505
00:08:34,0.04552168922332843
00:08:35,0.12318393674844973
00:08:36,0.09570207568242342
00:08:37,0.07845646286063213
00:08:38,0.1026172446023625
00:08:39,0.053104531185131504
00:08:40,0.1307163206605011
00:08:41,0.07674852082670934
00:08:42,0.06670092868989007
00:08:43,0.15330152919281148
00:08:44,0.17111887871134054
00:08:45,0.00851135251414993
00:08:46,0.04303599367350662
00:08:47,0.0644760833561242
00:08:48,0.15076879868349577
00:08:49,0.18231591411401005
00:08:50,0.17925976536401508
00:08:51,0.16741544392673646
00:08:52,0.05486290903684553
00:08:53,0.18352208003167772
00:08:54,0.04614270759544348
00:08:55,0.01959263865321296
00:08:56,0.1759262330452479
00:08:57,0.04318274726159781
00:08:58,0.12760712903938384
00:08:59,0.010795926411408903
00:09:00,0.1351811833385831
00:09:01,0.16311823928176034
00:09:02,0.05040082566120306
00:09:03,0.07012552577432428
00:09:04,0.06924479391436947
00:09:05,0.13852582764492463
00:09:06,0.043994339869722184
00:09:07,0.03179282332381396
00:09:08,0.08311895500723154
00:09:09,0.05632665536480411
00:09:10,0.1552499876178507
00:09:11,0.04398223781289317
00:09:12,0.09294204963551336
00:09:13,0.1743779659441171
00:09:14,0.11728957408276224
00:09:15,0.16044854001055597
00:09:16,0.17393879253063196
00:09:17,0.1388914994489751
00:09:18,0.129421386141579
00:09:19,0.17907362982178202
00:09:20,0.1839641460848207
00:09:21,0.08358701129390553
00:09:22,0.013110908964078547
00:09:23,0.05416689581649599
00:09:24,0.028185620552230135
00:09:25,0.07723497933726219
00:09:26,0.024288525767552364
00:09:27,0.11176179374386316
00:09:28,0.070819490944203
00:09:29,0.16564638859331884
00:09:30,0.17904201428272284
00:09:31,0.1011737068088431
00:09:32,0.05084236042550537
00:09:33,0.10956262747093981
00:09:34,0.16590081427151582
00:09:35,0.07524566897961343
00:09:36,0.1021344811880146
00:09:37,0.05025576200713699
00:09:38,0.08425716764825499
00:09:39,0.07431700404522575
00:09:40,0.045956491040349635
00:09:41,0.09358528100768204
00:09:42,0.057420452806265114
00:09:43,0.06901144981793828
00:09:44,0.09711953181703889
00:09:45,0.1388600792418627
00:09:46,0.06169888117138594
00:09:47,0.17096937182484126
00:09:48,0.15952893116464192
00:09:49,0.00900770475547278
00:09:50,0.04692386698751221
00:09:51,0.08253506984195236
00:09:52,0.019356159417357705
00:09:53,0.06446805797119697
00:09:54,0.13691804223927126
00:09:55,0.12589517901142278
00:09:56,0.1151411192847109
00:09:57,0.13144775450363394
